loan_id,borrower_id,application_date,event_date,days_to_event,event_type,defaulted,loss_given_default,loss_amount,default_probability
L000060,B0023,2023-01-04,2023-04-04,90,maturity,False,0.0,0.0,0.0
L000061,B0023,2024-05-27,2024-07-26,60,maturity,False,0.0,0.0,0.0
L000062,B0023,2024-06-03,2024-07-03,30,maturity,False,0.0,0.0,0.0
L000063,B0023,2024-10-02,2024-12-31,90,maturity,False,0.0,0.0,0.0
L000064,B0024,2024-09-15,2024-11-14,60,maturity,False,0.0,0.0,0.0
L000065,B0024,2023-06-06,2023-09-04,90,maturity,False,0.0,0.0,0.0
L000066,B0024,2023-06-15,2024-06-14,365,maturity,False,0.0,0.0,0.0
L000067,B0024,2024-06-27,2024-07-27,30,maturity,False,0.0,0.0,0.0
L000068,B0024,2024-09-05,2024-12-04,90,maturity,False,0.0,0.0,0.0
L000069,B0025,2023-01-20,2023-02-19,30,maturity,False,0.0,0.0,0.0
L000070,B0025,2024-01-07,2024-04-06,90,maturity,False,0.0,0.0,0.0
L000071,B0025,2023-09-03,2023-10-03,30,maturity,False,0.0,0.0,0.0
L000072,B0025,2023-09-04,2024-09-03,365,maturity,False,0.0,0.0,0.0
L000073,B0026,2023-03-29,2023-09-25,180,maturity,False,0.0,0.0,0.0
L000074,B0027,2024-06-29,2024-08-28,60,maturity,False,0.0,0.0,0.0
L000075,B0028,2024-11-06,2025-05-05,180,maturity,False,0.0,0.0,0.0
L000076,B0028,2024-07-16,2024-09-14,60,maturity,False,0.0,0.0,0.0
L000077,B0029,2024-06-24,2025-06-24,365,maturity,False,0.0,0.0,0.0
L000078,B0029,2024-03-09,2024-05-08,60,maturity,False,0.0,0.0,0.0
L000079,B0029,2024-07-06,2024-09-04,60,maturity,False,0.0,0.0,0.0
L000080,B0030,2024-02-13,2024-05-13,90,maturity,False,0.0,0.0,0.0
L000081,B0030,2024-03-24,2025-03-24,365,maturity,False,0.0,0.0,0.0
L000082,B0030,2024-04-07,2024-05-07,30,maturity,False,0.0,0.0,0.0
L000083,B0031,2023-08-19,2023-09-18,30,maturity,False,0.0,0.0,0.0
L000084,B0031,2023-12-13,2024-01-12,30,maturity,False,0.0,0.0,0.0
L000085,B0032,2024-07-21,2024-09-19,60,maturity,False,0.0,0.0,0.0
L000086,B0032,2024-08-25,2024-10-24,60,maturity,False,0.0,0.0,0.0
L000087,B0032,2023-01-08,2023-02-07,30,maturity,False,0.0,0.0,0.0
L000088,B0032,2024-12-25,2025-01-24,30,maturity,False,0.0,0.0,0.0
L000089,B0032,2023-08-23,2023-09-22,30,maturity,False,0.0,0.0,0.0
L000090,B0033,2023-12-05,2024-01-04,30,maturity,False,0.0,0.0,0.0
L000091,B0034,2023-09-01,2023-11-30,90,maturity,False,0.0,0.0,0.0
L000092,B0034,2024-11-16,2025-05-15,180,maturity,False,0.0,0.0,0.0
L000093,B0034,2023-08-08,2024-08-07,365,maturity,False,0.0,0.0,0.0
L000094,B0034,2023-05-16,2024-05-15,365,maturity,False,0.0,0.0,0.0
L000095,B0034,2024-08-13,2025-02-09,180,maturity,False,0.0,0.0,0.0
L000096,B0035,2024-04-29,2024-10-26,180,maturity,False,0.0,0.0,0.0
L000097,B0035,2023-07-14,2023-08-13,30,maturity,False,0.0,0.0,0.0
L000098,B0036,2024-11-05,2025-05-04,180,maturity,False,0.0,0.0,0.0
L000099,B0037,2024-03-09,2024-09-05,180,maturity,False,0.0,0.0,0.0
L000100,B0037,2024-04-23,2024-05-23,30,maturity,False,0.0,0.0,0.0
L000101,B0037,2024-11-20,2024-12-20,30,maturity,False,0.0,0.0,0.0
L000102,B0038,2024-02-17,2024-05-17,90,maturity,False,0.0,0.0,0.0
L000103,B0039,2023-09-12,2023-11-11,60,maturity,False,0.0,0.0,0.0
L000104,B0040,2024-07-03,2024-12-30,180,maturity,False,0.0,0.0,0.0
L000105,B0040,2023-05-24,2023-11-20,180,maturity,False,0.0,0.0,0.0
L000106,B0041,2023-10-13,2024-04-10,180,maturity,False,0.0,0.0,0.0
L000107,B0041,2023-09-13,2023-10-13,30,maturity,False,0.0,0.0,0.0
L000108,B0042,2024-07-17,2024-08-16,30,maturity,False,0.0,0.0,0.0
L000109,B0042,2023-02-21,2024-02-21,365,maturity,False,0.0,0.0,0.0
L000110,B0042,2023-01-16,2023-02-15,30,maturity,False,0.0,0.0,0.0
L000111,B0042,2023-08-31,2023-10-30,60,maturity,False,0.0,0.0,0.0
L000112,B0043,2024-05-12,2024-11-08,180,maturity,False,0.0,0.0,0.0
L000113,B0043,2023-08-07,2024-02-03,180,maturity,False,0.0,0.0,0.0
L000114,B0043,2023-03-02,2023-05-01,60,maturity,False,0.0,0.0,0.0
L000115,B0043,2024-01-24,2024-02-23,30,maturity,False,0.0,0.0,0.0
L000116,B0044,2023-09-29,2024-03-27,180,maturity,False,0.0,0.0,0.0
L000117,B0044,2023-10-20,2024-04-17,180,maturity,False,0.0,0.0,0.0
L000118,B0044,2024-12-14,2025-12-14,365,maturity,False,0.0,0.0,0.0
L000119,B0044,2024-11-08,2025-05-07,180,maturity,False,0.0,0.0,0.0
L000120,B0045,2023-07-14,2023-10-12,90,maturity,False,0.0,0.0,0.0
L000121,B0045,2023-08-11,2023-09-10,30,maturity,False,0.0,0.0,0.0
L000122,B0046,2024-07-09,2024-08-08,30,maturity,False,0.0,0.0,0.0
L000123,B0046,2023-11-18,2023-12-18,30,maturity,False,0.0,0.0,0.0
L000124,B0046,2023-02-21,2024-02-21,365,maturity,False,0.0,0.0,0.0
L000125,B0046,2024-05-03,2025-05-03,365,maturity,False,0.0,0.0,0.0
L000126,B0046,2024-06-27,2024-08-26,60,maturity,False,0.0,0.0,0.0
L000127,B0047,2024-06-04,2024-07-04,30,maturity,False,0.0,0.0,0.0
L000128,B0048,2023-03-12,2024-03-11,365,maturity,False,0.0,0.0,0.0
L000129,B0048,2023-03-11,2023-05-10,60,maturity,False,0.0,0.0,0.0
L000130,B0049,2023-05-03,2024-05-02,365,maturity,False,0.0,0.0,0.0
L000131,B0049,2023-09-10,2024-09-09,365,maturity,False,0.0,0.0,0.0
L000132,B0049,2024-08-31,2024-09-30,30,maturity,False,0.0,0.0,0.0
L000133,B0049,2024-09-26,2024-10-26,30,maturity,False,0.0,0.0,0.0
L000134,B0050,2024-11-04,2025-11-04,365,maturity,False,0.0,0.0,0.0
L000135,B0050,2024-08-01,2025-08-01,365,maturity,False,0.0,0.0,0.0
L000136,B0050,2023-11-20,2024-02-18,90,maturity,False,0.0,0.0,0.0
L000137,B0050,2023-07-29,2023-10-27,90,maturity,False,0.0,0.0,0.0
L000138,B0051,2023-09-29,2024-03-27,180,maturity,False,0.0,0.0,0.0
L000139,B0051,2023-05-15,2023-08-13,90,maturity,False,0.0,0.0,0.0
L000140,B0052,2023-11-20,2023-12-20,30,maturity,False,0.0,0.0,0.0
L000141,B0052,2023-01-10,2023-07-09,180,maturity,False,0.0,0.0,0.0
L000142,B0052,2024-09-28,2025-09-28,365,maturity,False,0.0,0.0,0.0
L000143,B0052,2023-04-13,2023-05-13,30,maturity,False,0.0,0.0,0.0
L000144,B0053,2023-08-07,2024-08-06,365,maturity,False,0.0,0.0,0.0
L000145,B0053,2023-09-29,2023-11-28,60,maturity,False,0.0,0.0,0.0
L000146,B0053,2023-12-24,2024-01-23,30,maturity,False,0.0,0.0,0.0
L000147,B0053,2023-09-08,2023-12-07,90,maturity,False,0.0,0.0,0.0
L000148,B0053,2023-10-19,2023-12-18,60,maturity,False,0.0,0.0,0.0
L000149,B0054,2024-07-10,2024-10-08,90,maturity,False,0.0,0.0,0.0
L000150,B0054,2024-09-18,2025-09-18,365,maturity,False,0.0,0.0,0.0
L000151,B0054,2023-01-09,2024-01-09,365,maturity,False,0.0,0.0,0.0
L000152,B0054,2023-11-03,2023-12-03,30,maturity,False,0.0,0.0,0.0
L000153,B0055,2023-09-28,2023-10-28,30,maturity,False,0.0,0.0,0.0
L000154,B0055,2023-04-20,2024-04-19,365,maturity,False,0.0,0.0,0.0
L000155,B0056,2023-10-06,2024-01-04,90,maturity,False,0.0,0.0,0.0
L000156,B0056,2024-09-11,2024-11-10,60,maturity,False,0.0,0.0,0.0
L000157,B0057,2023-07-28,2023-10-26,90,maturity,False,0.0,0.0,0.0
L000158,B0057,2024-06-01,2024-11-28,180,maturity,False,0.0,0.0,0.0
L000159,B0057,2023-09-15,2023-10-15,30,maturity,False,0.0,0.0,0.0
L000160,B0058,2024-10-11,2025-04-09,180,maturity,False,0.0,0.0,0.0
L000161,B0059,2023-02-15,2023-03-17,30,maturity,False,0.0,0.0,0.0
L000162,B0059,2023-12-08,2024-02-06,60,maturity,False,0.0,0.0,0.0
L000163,B0059,2024-10-14,2025-01-12,90,maturity,False,0.0,0.0,0.0
L000164,B0060,2024-03-28,2025-03-28,365,maturity,False,0.0,0.0,0.0
L000165,B0060,2024-12-23,2025-06-21,180,maturity,False,0.0,0.0,0.0
L000166,B0061,2023-01-10,2023-02-09,30,maturity,False,0.0,0.0,0.0
L000167,B0061,2023-03-19,2023-05-18,60,maturity,False,0.0,0.0,0.0
L000168,B0061,2024-07-12,2024-08-11,30,maturity,False,0.0,0.0,0.0
L000169,B0061,2024-01-14,2025-01-13,365,maturity,False,0.0,0.0,0.0
L000170,B0061,2024-07-19,2024-09-17,60,maturity,False,0.0,0.0,0.0
L000171,B0062,2023-05-11,2023-06-10,30,maturity,False,0.0,0.0,0.0
L000172,B0062,2023-11-12,2024-02-10,90,maturity,False,0.0,0.0,0.0
L000173,B0062,2023-02-10,2023-05-11,90,maturity,False,0.0,0.0,0.0
L000174,B0062,2023-08-04,2023-10-03,60,maturity,False,0.0,0.0,0.0
L000175,B0063,2023-12-29,2024-12-28,365,maturity,False,0.0,0.0,0.0
L000176,B0064,2024-09-27,2024-11-26,60,maturity,False,0.0,0.0,0.0
L000177,B0064,2023-08-31,2023-10-30,60,maturity,False,0.0,0.0,0.0
L000178,B0064,2023-07-01,2023-12-28,180,maturity,False,0.0,0.0,0.0
L000179,B0064,2023-01-26,2023-03-27,60,maturity,False,0.0,0.0,0.0
L000180,B0065,2024-02-26,2024-04-26,60,maturity,False,0.0,0.0,0.0
L000181,B0065,2023-10-01,2023-11-30,60,maturity,False,0.0,0.0,0.0
L000182,B0065,2024-12-19,2025-01-18,30,maturity,False,0.0,0.0,0.0
L000183,B0066,2023-02-09,2023-08-08,180,maturity,False,0.0,0.0,0.0
L000184,B0066,2023-08-16,2023-10-15,60,maturity,False,0.0,0.0,0.0
L000185,B0066,2024-04-16,2024-07-15,90,maturity,False,0.0,0.0,0.0
L000186,B0066,2023-11-09,2024-01-08,60,maturity,False,0.0,0.0,0.0
L000187,B0067,2023-01-25,2023-03-26,60,maturity,False,0.0,0.0,0.0
L000188,B0067,2024-02-13,2024-05-13,90,maturity,False,0.0,0.0,0.0
L000189,B0068,2023-03-13,2023-06-11,90,maturity,False,0.0,0.0,0.0
L000190,B0068,2023-12-26,2024-12-25,365,maturity,False,0.0,0.0,0.0
L000191,B0068,2024-02-14,2025-02-13,365,maturity,False,0.0,0.0,8.02922091387229e-264
L000192,B0069,2023-01-29,2023-02-28,30,maturity,False,0.0,0.0,0.0
L000193,B0069,2023-09-25,2023-11-24,60,maturity,False,0.0,0.0,0.0
L000194,B0069,2024-08-17,2024-11-15,90,maturity,False,0.0,0.0,0.0
L000195,B0070,2023-04-22,2024-04-21,365,maturity,False,0.0,0.0,0.0
L000196,B0071,2023-12-20,2024-03-19,90,maturity,False,0.0,0.0,0.0
L000197,B0071,2024-03-22,2025-03-22,365,maturity,False,0.0,0.0,0.0
L000198,B0071,2024-06-07,2024-07-07,30,maturity,False,0.0,0.0,0.0
L000199,B0071,2024-01-30,2025-01-29,365,maturity,False,0.0,0.0,0.0
L000200,B0072,2023-09-18,2023-10-18,30,maturity,False,0.0,0.0,0.0
L000201,B0072,2024-12-26,2025-06-24,180,maturity,False,0.0,0.0,0.0
L000202,B0073,2024-06-16,2025-06-16,365,maturity,False,0.0,0.0,0.0
L000203,B0074,2024-01-08,2024-07-06,180,maturity,False,0.0,0.0,0.0
L000204,B0074,2023-03-13,2023-06-11,90,maturity,False,0.0,0.0,0.0
L000205,B0075,2023-11-18,2023-12-18,30,maturity,False,0.0,0.0,0.0
L000206,B0075,2023-11-04,2024-11-03,365,maturity,False,0.0,0.0,0.0
L000207,B0075,2023-11-13,2024-05-11,180,maturity,False,0.0,0.0,0.0
L000208,B0075,2023-12-01,2024-05-29,180,maturity,False,0.0,0.0,0.0
L000209,B0075,2024-12-14,2025-03-14,90,maturity,False,0.0,0.0,0.0
L000210,B0076,2023-05-11,2023-07-10,60,maturity,False,0.0,0.0,0.0
L000211,B0076,2024-03-06,2024-09-02,180,maturity,False,0.0,0.0,0.0
L000212,B0076,2024-11-24,2025-01-23,60,maturity,False,0.0,0.0,0.0
L000213,B0076,2024-09-22,2025-09-22,365,maturity,False,0.0,0.0,0.0
L000214,B0076,2023-11-05,2024-05-03,180,maturity,False,0.0,0.0,0.0
L000215,B0077,2023-01-01,2023-04-01,90,maturity,False,0.0,0.0,0.0
L000216,B0077,2023-10-21,2023-12-20,60,maturity,False,0.0,0.0,0.0
L000217,B0077,2024-03-16,2025-03-16,365,maturity,False,0.0,0.0,0.0
L000218,B0077,2024-09-13,2024-12-12,90,maturity,False,0.0,0.0,0.0
L000219,B0077,2024-04-21,2024-10-18,180,maturity,False,0.0,0.0,0.0
L000220,B0078,2024-11-22,2025-01-21,60,maturity,False,0.0,0.0,0.0
L000221,B0078,2024-06-07,2024-12-04,180,maturity,False,0.0,0.0,0.0
L000222,B0078,2023-06-23,2023-07-23,30,maturity,False,0.0,0.0,0.0
L000223,B0078,2023-10-18,2024-10-17,365,maturity,False,0.0,0.0,0.0
L000224,B0079,2023-12-10,2024-01-09,30,maturity,False,0.0,0.0,0.0
L000225,B0079,2023-08-29,2023-11-27,90,maturity,False,0.0,0.0,0.0
L000226,B0079,2023-08-19,2023-10-18,60,maturity,False,0.0,0.0,0.0
L000227,B0079,2023-05-31,2023-06-30,30,maturity,False,0.0,0.0,0.0
L000228,B0079,2023-02-17,2023-04-18,60,maturity,False,0.0,0.0,0.0
L000229,B0080,2024-09-17,2024-10-17,30,maturity,False,0.0,0.0,0.0
L000230,B0080,2024-04-11,2024-10-08,180,maturity,False,0.0,0.0,0.0
L000231,B0080,2024-10-06,2025-10-06,365,maturity,False,0.0,0.0,0.0
L000232,B0080,2023-07-19,2024-01-15,180,maturity,False,0.0,0.0,0.0
L000233,B0081,2024-02-14,2024-04-14,60,maturity,False,0.0,0.0,0.0
L000234,B0081,2023-06-01,2023-07-01,30,maturity,False,0.0,0.0,0.0
L000235,B0081,2023-04-20,2023-10-17,180,maturity,False,0.0,0.0,0.0
L000236,B0081,2023-08-13,2023-10-12,60,maturity,False,0.0,0.0,0.0
L000237,B0082,2024-04-20,2024-05-20,30,maturity,False,0.0,0.0,0.0
L000238,B0082,2024-07-24,2024-09-22,60,maturity,False,0.0,0.0,0.0
L000239,B0082,2023-05-05,2023-11-01,180,maturity,False,0.0,0.0,0.0
L000240,B0082,2023-05-17,2023-11-13,180,maturity,False,0.0,0.0,0.0
L000241,B0082,2024-11-14,2025-11-14,365,maturity,False,0.0,0.0,0.0
L000242,B0083,2024-09-01,2024-11-30,90,maturity,False,0.0,0.0,0.0
L000243,B0083,2024-03-29,2025-03-29,365,maturity,False,0.0,0.0,0.0
L000244,B0083,2024-05-31,2024-11-27,180,maturity,False,0.0,0.0,0.0
L000245,B0083,2024-07-15,2025-01-11,180,maturity,False,0.0,0.0,0.0
L000246,B0083,2023-06-12,2023-12-09,180,maturity,False,0.0,0.0,0.0
L000247,B0084,2023-09-23,2023-11-22,60,maturity,False,0.0,0.0,0.0
L000248,B0084,2024-10-14,2025-01-12,90,maturity,False,0.0,0.0,0.0
L000249,B0084,2024-06-17,2024-12-14,180,maturity,False,0.0,0.0,0.0
L000250,B0084,2024-10-03,2024-12-02,60,maturity,False,0.0,0.0,0.0
L000251,B0085,2024-03-26,2024-04-25,30,maturity,False,0.0,0.0,0.0
L000252,B0085,2024-12-31,2025-03-31,90,maturity,False,0.0,0.0,0.0
L000253,B0085,2023-08-29,2023-11-27,90,maturity,False,0.0,0.0,0.0
L000254,B0086,2023-11-24,2024-11-23,365,maturity,False,0.0,0.0,0.0
L000255,B0086,2023-03-24,2023-05-23,60,maturity,False,0.0,0.0,0.0
L000256,B0086,2023-06-04,2023-08-03,60,maturity,False,0.0,0.0,0.0
L000257,B0087,2024-12-11,2025-02-09,60,maturity,False,0.0,0.0,0.0
L000258,B0087,2024-12-24,2025-02-22,60,maturity,False,0.0,0.0,0.0
L000259,B0087,2023-03-07,2023-09-03,180,maturity,False,0.0,0.0,0.0
L000260,B0087,2024-02-22,2024-05-22,90,maturity,False,0.0,0.0,0.0
L000261,B0088,2024-04-22,2024-10-19,180,maturity,False,0.0,0.0,0.0
L000262,B0088,2023-03-05,2023-05-04,60,maturity,False,0.0,0.0,0.0
L000263,B0088,2024-03-06,2024-09-02,180,maturity,False,0.0,0.0,0.0
L000264,B0088,2024-08-21,2024-09-20,30,maturity,False,0.0,0.0,0.0
L000265,B0088,2024-08-12,2025-02-08,180,maturity,False,0.0,0.0,0.0
L000266,B0089,2023-01-07,2023-04-07,90,maturity,False,0.0,0.0,0.0
L000267,B0089,2023-11-02,2024-04-30,180,maturity,False,0.0,0.0,0.0
L000268,B0089,2024-03-05,2025-03-05,365,maturity,False,0.0,0.0,0.0
L000269,B0089,2024-07-13,2025-07-13,365,maturity,False,0.0,0.0,0.0
L000270,B0090,2024-05-14,2024-07-13,60,maturity,False,0.0,0.0,0.0
L000271,B0090,2023-10-07,2024-04-04,180,maturity,False,0.0,0.0,0.0
L000272,B0091,2023-01-30,2023-07-29,180,maturity,False,0.0,0.0,0.0
L000273,B0091,2023-12-11,2024-06-08,180,maturity,False,0.0,0.0,0.0
L000274,B0091,2023-06-19,2023-12-16,180,maturity,False,0.0,0.0,0.0
L000275,B0091,2023-05-11,2024-05-10,365,maturity,False,0.0,0.0,0.0
L000276,B0092,2023-01-28,2023-07-27,180,maturity,False,0.0,0.0,0.0
L000277,B0092,2024-08-29,2025-08-29,365,maturity,False,0.0,0.0,0.0
L000278,B0092,2024-11-09,2024-12-09,30,maturity,False,0.0,0.0,0.0
L000279,B0092,2023-03-27,2023-09-23,180,maturity,False,0.0,0.0,0.0
L000280,B0092,2023-05-19,2023-11-15,180,maturity,False,0.0,0.0,0.0
L000281,B0093,2023-02-21,2023-05-22,90,maturity,False,0.0,0.0,0.0
L000282,B0093,2024-01-24,2024-04-23,90,maturity,False,0.0,0.0,0.0
L000283,B0094,2024-04-10,2024-07-09,90,maturity,False,0.0,0.0,0.0
L000284,B0094,2023-12-12,2024-06-09,180,maturity,False,0.0,0.0,0.0
L000285,B0095,2024-03-07,2024-06-05,90,maturity,False,0.0,0.0,0.0
L000286,B0095,2023-03-25,2023-09-21,180,maturity,False,0.0,0.0,0.0
L000287,B0095,2023-01-20,2024-01-20,365,maturity,False,0.0,0.0,0.0
L000288,B0096,2023-12-25,2024-02-23,60,maturity,False,0.0,0.0,0.0
L000289,B0097,2024-10-29,2024-11-28,30,maturity,False,0.0,0.0,0.0
L000290,B0098,2023-09-11,2023-11-10,60,maturity,False,0.0,0.0,0.0
L000291,B0099,2024-09-28,2024-11-27,60,maturity,False,0.0,0.0,0.0
L000292,B0100,2023-05-10,2023-11-06,180,maturity,False,0.0,0.0,0.0
L000293,B0100,2024-11-16,2024-12-16,30,maturity,False,0.0,0.0,0.0
L000294,B0101,2023-08-12,2024-02-08,180,maturity,False,0.0,0.0,0.0
L000295,B0101,2024-12-17,2025-03-17,90,maturity,False,0.0,0.0,0.0
L000296,B0101,2024-01-13,2024-03-13,60,maturity,False,0.0,0.0,0.0
L000297,B0101,2024-09-12,2025-09-12,365,maturity,False,0.0,0.0,0.0
L000298,B0101,2023-04-28,2023-06-27,60,maturity,False,0.0,0.0,0.0
L000299,B0102,2023-04-21,2024-04-20,365,maturity,False,0.0,0.0,0.0
L000300,B0102,2023-01-27,2023-04-27,90,maturity,False,0.0,0.0,0.0
L000301,B0102,2024-08-12,2025-02-08,180,maturity,False,0.0,0.0,0.0
L000302,B0103,2023-07-23,2023-08-22,30,maturity,False,0.0,0.0,0.0
L000303,B0103,2024-08-29,2024-10-28,60,maturity,False,0.0,0.0,0.0
L000304,B0103,2023-04-15,2023-07-14,90,maturity,False,0.0,0.0,0.0
L000305,B0103,2024-12-01,2025-12-01,365,maturity,False,0.0,0.0,0.0
L000306,B0104,2024-08-02,2024-09-01,30,maturity,False,0.0,0.0,0.0
L000307,B0105,2024-06-29,2024-12-26,180,maturity,False,0.0,0.0,0.0
L000308,B0105,2024-11-08,2025-02-06,90,maturity,False,0.0,0.0,0.0
L000309,B0105,2023-03-12,2024-03-11,365,maturity,False,0.0,0.0,0.0
L000310,B0106,2023-01-13,2023-07-12,180,maturity,False,0.0,0.0,0.0
L000311,B0106,2024-05-16,2024-06-15,30,maturity,False,0.0,0.0,0.0
L000312,B0106,2024-03-19,2024-06-17,90,maturity,False,0.0,0.0,0.0
L000313,B0107,2024-12-25,2025-02-23,60,maturity,False,0.0,0.0,0.0
L000314,B0107,2024-03-21,2024-05-20,60,maturity,False,0.0,0.0,0.0
L000315,B0107,2024-06-18,2024-09-16,90,maturity,False,0.0,0.0,0.0
L000316,B0107,2024-09-22,2025-09-22,365,maturity,False,0.0,0.0,0.0
L000317,B0108,2024-04-21,2024-10-18,180,maturity,False,0.0,0.0,0.0
L000318,B0108,2024-08-29,2024-11-27,90,maturity,False,0.0,0.0,0.0
L000319,B0108,2023-11-27,2024-01-26,60,maturity,False,0.0,0.0,0.0
L000320,B0108,2023-03-30,2023-06-28,90,maturity,False,0.0,0.0,0.0
L000321,B0109,2023-09-07,2024-03-05,180,maturity,False,0.0,0.0,0.0
L000322,B0109,2024-08-06,2025-08-06,365,maturity,False,0.0,0.0,0.0
L000323,B0109,2024-11-15,2025-05-14,180,maturity,False,0.0,0.0,0.0
L000324,B0109,2023-12-11,2024-01-10,30,maturity,False,0.0,0.0,0.0
L000325,B0110,2023-11-29,2024-01-28,60,maturity,False,0.0,0.0,0.0
L000326,B0110,2024-05-14,2024-07-13,60,maturity,False,0.0,0.0,0.0
L000327,B0110,2023-12-30,2024-03-29,90,maturity,False,0.0,0.0,0.0
L000328,B0110,2023-12-15,2024-03-14,90,maturity,False,0.0,0.0,0.0
L000329,B0111,2024-12-19,2025-03-19,90,maturity,False,0.0,0.0,0.0
L000330,B0111,2024-07-23,2024-08-22,30,maturity,False,0.0,0.0,0.0
